,serial_id,役職no,役職名,役職名2,業種no,業種名,業種名2,従業員規模no,従業員規模,従業員規模2
0,914863653.0,1.0,経営者,1.経営者・役員,19.0,情報処理、ＳＩ、ソフトウェア,,1.0,1～9人,
1,2551738859.0,1.0,経営者,1.経営者・役員,7.0,建設,,1.0,1～9人,
2,3135194805.0,4.0,部長クラス,2.本部長・部長,8.0,自動車、輸送機器,2.製造業,8.0,"3,000～4,999人",2.1000人以上
3,6939775047.0,2.0,役員クラス,1.経営者・役員,13.0,その他製造,2.製造業,1.0,1～9人,
4,4341330716.0,1.0,経営者,1.経営者・役員,21.0,コンサル・会計・法律関連,,1.0,1～9人,
5,7408191096.0,3.0,本部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,7.0,"1,000～2,999人",2.1000人以上
6,218009122.0,4.0,部長クラス,2.本部長・部長,23.0,公務員（教員を除く）,,10.0,"10,000～19,999人",2.1000人以上
7,4998992484.0,2.0,役員クラス,1.経営者・役員,27.0,飲食店・宿泊,,7.0,"1,000～2,999人",2.1000人以上
8,5387283198.0,5.0,課長クラス,3.課長,19.0,情報処理、ＳＩ、ソフトウェア,,8.0,"3,000～4,999人",2.1000人以上
9,8160830667.0,10.0,その他,,30.0,その他,,7.0,"1,000～2,999人",2.1000人以上
10,4889237737.0,6.0,主任／係長クラス,,30.0,その他,,6.0,500～999人,1.300～999人
11,3519396705.0,7.0,一般社員,,19.0,情報処理、ＳＩ、ソフトウェア,,10.0,"10,000～19,999人",2.1000人以上
12,4780671709.0,,,,,,,,,
13,8375726550.0,,,,,,,,,
14,9589914748.0,9.0,契約社員,,17.0,不動産,,9.0,"5,000～9,999人",2.1000人以上
15,475920790.0,1.0,経営者,1.経営者・役員,17.0,不動産,,3.0,50～99人,
16,3470197551.0,7.0,一般社員,,16.0,金融・証券・保険,1.金融・証券・保険,9.0,"5,000～9,999人",2.1000人以上
17,5536429794.0,5.0,課長クラス,3.課長,7.0,建設,,11.0,"20,000人以上",2.1000人以上
18,2507878836.0,3.0,本部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,6.0,500～999人,1.300～999人
19,8364424125.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
20,4778760690.0,6.0,主任／係長クラス,,7.0,建設,,10.0,"10,000～19,999人",2.1000人以上
21,5428357392.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,9.0,"5,000～9,999人",2.1000人以上
22,2060595292.0,5.0,課長クラス,3.課長,15.0,卸売・小売業・商業（商社含む）,3.小売系,9.0,"5,000～9,999人",2.1000人以上
23,1559277368.0,4.0,部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,9.0,"5,000～9,999人",2.1000人以上
24,9991831641.0,7.0,一般社員,,12.0,食品、医薬、化粧品,2.製造業,5.0,300～499人,1.300～999人
25,2354263943.0,1.0,経営者,1.経営者・役員,20.0,運輸,3.小売系,2.0,10～49人,
26,9730252946.0,6.0,主任／係長クラス,,21.0,コンサル・会計・法律関連,,5.0,300～499人,1.300～999人
27,9915802105.0,4.0,部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,10.0,"10,000～19,999人",2.1000人以上
28,8507462654.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
29,594106626.0,7.0,一般社員,,15.0,卸売・小売業・商業（商社含む）,3.小売系,8.0,"3,000～4,999人",2.1000人以上
30,779244837.0,4.0,部長クラス,2.本部長・部長,17.0,不動産,,9.0,"5,000～9,999人",2.1000人以上
31,4626085358.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
32,299800670.0,7.0,一般社員,,20.0,運輸,3.小売系,10.0,"10,000～19,999人",2.1000人以上
33,8744503683.0,4.0,部長クラス,2.本部長・部長,15.0,卸売・小売業・商業（商社含む）,3.小売系,9.0,"5,000～9,999人",2.1000人以上
34,2123558410.0,4.0,部長クラス,2.本部長・部長,13.0,その他製造,2.製造業,6.0,500～999人,1.300～999人
35,6180874295.0,8.0,派遣社員,,19.0,情報処理、ＳＩ、ソフトウェア,,4.0,100～299人,
36,9731060972.0,4.0,部長クラス,2.本部長・部長,12.0,食品、医薬、化粧品,2.製造業,3.0,50～99人,
37,1072374400.0,5.0,課長クラス,3.課長,13.0,その他製造,2.製造業,2.0,10～49人,
38,1554996279.0,9.0,契約社員,,18.0,通信サービス,,7.0,"1,000～2,999人",2.1000人以上
39,2609182717.0,6.0,主任／係長クラス,,20.0,運輸,3.小売系,4.0,100～299人,
40,4050156309.0,3.0,本部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,11.0,"20,000人以上",2.1000人以上
41,5887591.0,1.0,経営者,1.経営者・役員,6.0,農林水産・鉱業,,1.0,1～9人,
42,9710318664.0,7.0,一般社員,,11.0,素材,2.製造業,11.0,"20,000人以上",2.1000人以上
43,7110986117.0,5.0,課長クラス,3.課長,7.0,建設,,7.0,"1,000～2,999人",2.1000人以上
44,8581231732.0,6.0,主任／係長クラス,,18.0,通信サービス,,9.0,"5,000～9,999人",2.1000人以上
45,1430622943.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
46,5929246969.0,,,,,,,,,
47,1603228072.0,,,,,,,,,
48,2203719301.0,5.0,課長クラス,3.課長,17.0,不動産,,2.0,10～49人,
49,9234714582.0,7.0,一般社員,,13.0,その他製造,2.製造業,5.0,300～499人,1.300～999人
50,8815786829.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,10.0,"10,000～19,999人",2.1000人以上
51,9766880649.0,6.0,主任／係長クラス,,30.0,その他,,4.0,100～299人,
52,6311119092.0,6.0,主任／係長クラス,,15.0,卸売・小売業・商業（商社含む）,3.小売系,10.0,"10,000～19,999人",2.1000人以上
53,5392946964.0,7.0,一般社員,,17.0,不動産,,3.0,50～99人,
54,7407957703.0,1.0,経営者,1.経営者・役員,15.0,卸売・小売業・商業（商社含む）,3.小売系,1.0,1～9人,
55,207938239.0,5.0,課長クラス,3.課長,7.0,建設,,5.0,300～499人,1.300～999人
56,1718150729.0,1.0,経営者,1.経営者・役員,26.0,介護・福祉,,6.0,500～999人,1.300～999人
57,3720704662.0,5.0,課長クラス,3.課長,8.0,自動車、輸送機器,2.製造業,10.0,"10,000～19,999人",2.1000人以上
58,3370093860.0,2.0,役員クラス,1.経営者・役員,17.0,不動産,,3.0,50～99人,
59,7164924559.0,10.0,その他,,23.0,公務員（教員を除く）,,9.0,"5,000～9,999人",2.1000人以上
60,4837815838.0,7.0,一般社員,,10.0,機械、重電,2.製造業,11.0,"20,000人以上",2.1000人以上
61,6075182763.0,4.0,部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,8.0,"3,000～4,999人",2.1000人以上
62,8442686294.0,1.0,経営者,1.経営者・役員,21.0,コンサル・会計・法律関連,,1.0,1～9人,
63,2883653731.0,5.0,課長クラス,3.課長,15.0,卸売・小売業・商業（商社含む）,3.小売系,5.0,300～499人,1.300～999人
64,817542115.0,1.0,経営者,1.経営者・役員,15.0,卸売・小売業・商業（商社含む）,3.小売系,2.0,10～49人,
65,1813622341.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
66,9580066029.0,6.0,主任／係長クラス,,10.0,機械、重電,2.製造業,9.0,"5,000～9,999人",2.1000人以上
67,3409937939.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,10.0,"10,000～19,999人",2.1000人以上
68,363285902.0,,,,,,,,,
69,7257589919.0,6.0,主任／係長クラス,,9.0,電気、電子機器,2.製造業,7.0,"1,000～2,999人",2.1000人以上
70,5755115702.0,1.0,経営者,1.経営者・役員,18.0,通信サービス,,2.0,10～49人,
71,2075733762.0,5.0,課長クラス,3.課長,19.0,情報処理、ＳＩ、ソフトウェア,,7.0,"1,000～2,999人",2.1000人以上
72,633524384.0,6.0,主任／係長クラス,,19.0,情報処理、ＳＩ、ソフトウェア,,8.0,"3,000～4,999人",2.1000人以上
73,5588844345.0,2.0,役員クラス,1.経営者・役員,16.0,金融・証券・保険,1.金融・証券・保険,4.0,100～299人,
74,2909910529.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,8.0,"3,000～4,999人",2.1000人以上
75,5088761029.0,1.0,経営者,1.経営者・役員,17.0,不動産,,1.0,1～9人,
76,4964980935.0,1.0,経営者,1.経営者・役員,20.0,運輸,3.小売系,4.0,100～299人,
